event_time,cycle_id,deployment_generation,model_name,model_version,prediction,actual_breakage,drift_score,latency_ms,segment
2026-03-09 22:41:05.959187+00,184,2,cnc_tool_breakage_classifier,2,1,1,0.258003,235.4285,before_update
2026-03-09 22:41:06.011297+00,185,2,cnc_tool_breakage_classifier,2,1,1,0.149116,151.4196,before_update
2026-03-09 22:41:06.062252+00,186,2,cnc_tool_breakage_classifier,2,1,1,0.245817,165.5426,before_update
2026-03-09 22:41:06.113135+00,187,2,cnc_tool_breakage_classifier,2,1,1,0.157017,157.1836,before_update
2026-03-09 22:41:06.164148+00,188,2,cnc_tool_breakage_classifier,2,1,1,0.209943,153.4267,before_update
2026-03-09 22:41:06.215126+00,189,2,cnc_tool_breakage_classifier,2,0,0,0.266622,158.59,before_update
2026-03-09 22:41:06.266324+00,190,2,cnc_tool_breakage_classifier,2,1,0,0.126911,155.9563,before_update
2026-03-09 22:41:06.317489+00,191,2,cnc_tool_breakage_classifier,2,1,1,0.305898,136.5302,before_update
2026-03-09 22:41:06.36914+00,192,2,cnc_tool_breakage_classifier,2,0,0,0.212595,142.439,before_update
2026-03-09 22:41:06.420233+00,193,2,cnc_tool_breakage_classifier,2,1,1,0.260497,131.4664,before_update
2026-03-09 22:41:06.471163+00,194,2,cnc_tool_breakage_classifier,2,1,1,0.334016,147.5857,before_update
2026-03-09 22:41:06.522219+00,195,2,cnc_tool_breakage_classifier,2,1,1,0.212973,122.9766,before_update
2026-03-09 22:41:06.573271+00,196,2,cnc_tool_breakage_classifier,2,0,0,0.298266,96.2096,before_update
2026-03-09 22:41:06.624179+00,197,2,cnc_tool_breakage_classifier,2,1,1,0.153944,164.4514,before_update
2026-03-09 22:41:06.675201+00,198,2,cnc_tool_breakage_classifier,2,0,0,0.335881,165.4895,before_update
2026-03-09 22:41:06.726186+00,199,2,cnc_tool_breakage_classifier,2,1,1,0.261782,158.2503,before_update
2026-03-09 22:41:06.777128+00,200,2,cnc_tool_breakage_classifier,2,1,1,0.099693,168.1733,before_update
2026-03-09 22:41:06.828171+00,201,2,cnc_tool_breakage_classifier,2,1,1,0.229263,155.748,before_update
2026-03-09 22:41:06.879209+00,202,2,cnc_tool_breakage_classifier,2,1,0,0.308827,167.2528,before_update
2026-03-09 22:41:06.930116+00,203,2,cnc_tool_breakage_classifier,2,1,1,0.162956,240.9275,before_update
2026-03-09 22:41:06.981145+00,204,2,cnc_tool_breakage_classifier,2,1,0,0.378049,154.2111,before_update
2026-03-09 22:41:07.032304+00,205,2,cnc_tool_breakage_classifier,2,1,1,0.205628,144.618,before_update
2026-03-09 22:41:07.084345+00,206,2,cnc_tool_breakage_classifier,2,1,1,0.278745,154.3288,before_update
2026-03-09 22:41:07.13517+00,207,2,cnc_tool_breakage_classifier,2,0,1,0.210114,146.2268,before_update
2026-03-09 22:41:07.186192+00,208,2,cnc_tool_breakage_classifier,2,1,0,0.188817,192.5281,before_update
2026-03-09 22:41:07.23822+00,209,2,cnc_tool_breakage_classifier,2,1,1,0.213885,175.7827,before_update
2026-03-09 22:41:07.289231+00,210,2,cnc_tool_breakage_classifier,2,1,1,0.262144,166.0987,before_update
2026-03-09 22:41:07.340137+00,211,2,cnc_tool_breakage_classifier,2,1,1,0.22009,163.2845,before_update
2026-03-09 22:41:07.391334+00,212,2,cnc_tool_breakage_classifier,2,1,1,0.323179,172.0442,before_update
2026-03-09 22:41:07.442356+00,213,2,cnc_tool_breakage_classifier,2,1,1,0.2376,158.4433,before_update
